ID,Player,Team,Position,Receptions,Receiving Yards,Receiving Yards per Reception,Receiving Touchdowns,Fumbles
108,Jimmy Graham,GNB,TE,38,447,11.8,3,1
109,Vance McDonald,PIT,TE,38,273,7.2,3,1
110,Chris Carson,SEA,RB,37,266,7.2,2,7
111,Gerald Everett,LAR,,37,408,11,2,0
112,Adam Humphries,TEN,,37,374,10.1,2,1
113,Kareem Hunt,CLE,,37,285,7.7,1,1
114,Jordan Akins,HOU,TE,36,418,11.6,2,0
115,Cameron Brate,TAM,TE,36,311,8.6,4,0
116,Nick Chubb,CLE,RB,36,278,7.7,0,3
117,David Johnson,ARI,rb,36,370,10.3,4,1
118,Breshad Perriman,TAM,,36,645,17.9,6,0
119,Jalen Richard,OAK,,36,323,9,0,2
120,Irv Smith Jr.,MIN,,36,311,8.6,2,1
121,Demaryius Thomas,NYJ,WR,36,433,12,1,0
122,DeAndre Washington,OAK,,36,292,8.1,0,0
123,Allen Lazard,GNB,,35,477,13.6,3,0
124,Phillip Lindsay,DEN,RB,35,196,5.6,0,0
125,Joe Mixon,CIN,RB,35,287,8.2,3,0
126,Dare Ogunbowale,TAM,,35,286,8.2,0,2
127,Jonnu Smith,TEN,TE,35,439,12.5,3,0
128,Geronimo Allison,GNB,wr,34,287,8.4,2,2
129,James Conner,PIT,RB,34,251,7.4,3,1
130,Darren Fells,HOU,TE,34,341,10,7,0
131,Ryan Griffin,NYJ,TE,34,320,9.4,5,0
132,O.J. Howard,TAM,TE,34,459,13.5,1,1
133,J.D. McKissic,DET,,34,233,6.9,1,0
134,Latavius Murray,NOR,rb,34,235,6.9,1,0
135,Steven Sims,WAS,,34,310,9.1,4,1
136,Damiere Byrd,ARI,,32,359,11.2,1,1
137,T.J. Hockenson,DET,te,32,367,11.5,2,0
138,Allen Hurns,MIA,WR,32,416,13,2,1
139,Demarcus Robinson,KAN,wr,32,449,14,4,0
140,Preston Williams,MIA,WR,32,428,13.4,3,2
141,Nick Boyle,BAL,TE,31,321,10.4,2,0
142,Eric Ebron,IND,,31,375,12.1,3,0
143,Todd Gurley,LAR,RB,31,207,6.7,2,3
144,Blake Jarwin,DAL,te,31,365,11.8,3,1
145,Olabisi Johnson,MIN,,31,294,9.5,3,0
146,Ronald Jones II,TAM,RB,31,309,10,0,3
147,Kaden Smith,NYG,te,31,268,8.6,3,2
148,Willie Snead,BAL,WR,31,339,10.9,5,0
149,Giovani Bernard,CIN,,30,234,7.8,0,2
150,Kendrick Bourne,SFO,,30,358,11.9,5,0
151,Ted Ginn Jr.,NOR,WR,30,421,14,2,0
152,Kelvin Harmon,WAS,WR,30,365,12.2,0,0
153,Hayden Hurst,BAL,,30,349,11.6,2,0
154,Adam Thielen,MIN,WR,30,418,13.9,6,0
155,Damien Williams,KAN,rb,30,213,7.1,2,1
156,Phillip Dorsett,NWE,,29,397,13.7,5,0
157,Taylor Gabriel,CHI,WR,29,353,12.2,4,0
158,Devin Singletary,BUF,RB,29,194,6.7,2,4
159,DaeSean Hamilton,DEN,,28,297,10.6,1,0
160,Dawson Knox,BUF,TE,28,388,13.9,2,0
161,LeSean McCoy,KAN,RB,28,181,6.5,1,3
162,Paul Richardson,WAS,WR,28,245,8.8,2,0
163,John Ross,CIN,WR,28,506,18.1,3,1
164,Greg Ward,PHI,,28,254,9.1,1,0
165,Jarius Wright,CAR,WR,28,296,10.6,0,0
166,Rex Burkhead,NWE,,27,279,10.3,0,1
167,Josh Gordon,2TM,,27,426,15.8,1,0
168,Zay Jones,2TM,,27,216,8,0,0
169,Isaiah McKenzie,BUF,WR,27,254,9.4,1,0
170,C.J. Uzomah,CIN,TE,27,242,9,2,0
171,Mecole Hardman,KAN,wr,26,538,20.7,6,2
172,Mark Ingram,BAL,RB,26,247,9.5,5,2
173,Jakobi Meyers,NWE,,26,359,13.8,0,0
174,Trey Quinn,WAS,wr,26,198,7.6,1,1
175,Jeremy Sprinkle,WAS,TE,26,241,9.3,1,1
176,Marquez Valdes-Scantling,GNB,WR,26,452,17.4,2,0
177,Pharoh Cooper,2TM,,25,243,9.7,1,0
178,Josh Hill,NOR,TE,25,226,9,3,0
179,Dion Lewis,TEN,,25,164,6.6,1,1
180,David Montgomery,CHI,rb,25,185,7.4,1,2
181,Tajae Sharpe,TEN,WR,25,329,13.2,4,0
182,Keelan Cole,JAX,,24,361,15,3,0
183,Ty Johnson,DET,,24,109,4.5,0,1
184,Cody Latimer,NYG,wr,24,300,12.5,2,0
185,Boston Scott,PHI,,24,204,8.5,0,4
186,Will Dissly,SEA,TE,23,262,11.4,4,1
187,Isaiah Ford,MIA,,23,244,10.6,0,0
188,Bennie Fowler,NYG,,23,193,8.4,0,0
189,Patrick Laird,MIA,,23,204,8.9,0,0
190,Keke Coutee,HOU,,22,254,11.5,0,1
191,Tevin Coleman,SFO,RB,21,180,8.6,1,0
192,KeeSean Johnson,ARI,,21,187,8.9,1,1
193,Foster Moreau,OAK,TE,21,174,8.3,5,0
194,Josh Reynolds,LAR,,21,326,15.5,1,0
195,Seth Roberts,BAL,,21,271,12.9,2,0
196,Delanie Walker,TEN,,21,215,10.2,2,1
197,Josh Jacobs,OAK,RB,20,166,8.3,0,1
198,Kyle Juszczyk,SFO,FB,20,239,12,1,0
199,Matt Breida,SFO,rb,19,120,6.3,1,2
200,Jakeem Grant,MIA,,19,164,8.6,0,2
201,Justin Hardy,ATL,,19,195,10.3,0,0
202,Taysom Hill,NOR,wr,19,234,12.3,6,0
203,Parris Campbell,IND,,18,127,7.1,1,3
204,Charles Clay,ARI,TE,18,237,13.2,1,0
205,Rhett Ellison,NYG,fb,18,167,9.3,1,0
206,Derrick Henry ,TEN,RB,18,206,11.4,2,5
207,Tre'Quan Smith,NOR,WR,18,234,13,5,0
208,Javon Wims,CHI,wr,18,186,10.3,1,0
209,C.J. Ham,MIN,FB,17,149,8.8,1,1
210,Marcus Johnson,IND,WR,17,277,16.3,2,0
211,David Moore,SEA,,17,301,17.7,2,2
212,Adrian Peterson,WAS,RB,17,142,8.4,0,3
213,Vyncint Smith,NYJ,,17,225,13.2,0,1
214,Nick Vannett,2TM,,17,166,9.8,0,0
215,Ben Watson,NWE,te,17,173,10.2,0,0
216,Peyton Barber,TAM,rb,16,115,7.2,1,1
217,Jaron Brown,SEA,WR,16,220,13.8,2,1
218,Jesse James,DET,TE,16,142,8.9,0,0
219,Tim Patrick,DEN,,16,218,13.6,0,0
220,Chester Rogers,IND,wr,16,179,11.2,2,2
221,Ian Thomas,CAR,,16,136,8.5,1,0
222,Logan Thomas,DET,,16,173,10.8,1,0
223,Ameer Abdullah,MIN,,15,88,5.9,1,1
